id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
67181,boardgame,PIX,2012,4,9,30,30,30,8,437,6.77406,5.98991,594,10,43,165,93,16,1.4375
20865,boardgame,Bolide,2005,2,8,120,120,120,14,613,6.56056,5.98953,875,83,48,140,328,96,2.7292
8147,boardgame,Maka Bana,2003,2,6,60,45,60,10,551,6.64576,5.98677,713,13,46,118,150,63,2.0476
22347,boardgame,Pecking Order,1998,2,2,10,10,10,8,760,6.43248,5.98676,1125,178,21,87,342,90,1.3444
47046,boardgame,Gambit 7,2008,3,21,15,15,15,7,453,6.7281,5.98656,496,13,19,69,124,29,1.0345
110,boardgame,Auf Achse,1987,2,6,60,60,60,8,1138,6.29919,5.98655,1583,68,131,255,411,119,1.9748
38318,boardgame,Start Player,2008,2,99,1,1,1,14,671,6.49088,5.9865,1302,24,35,126,257,69,1
32382,boardgame,Gipsy King,2007,2,5,30,30,30,8,563,6.58238,5.98616,520,26,39,96,235,68,1.8529
173442,boardgame,Glenn Drover's Empires: Age of Discovery  Deluxe Edition,2015,2,6,150,50,150,10,140,8.38157,5.98558,581,5,40,216,66,17,3.0588
33468,boardgame,Zombie in my Pocket,2007,1,1,5,5,5,11,1303,6.32729,5.9854,1822,24,11,219,568,197,1.3046
123576,boardgame,Sheepland,2012,2,4,30,30,30,8,517,6.79675,5.98528,616,19,40,150,116,39,1.8974
120605,boardgame,Neuroshima: Convoy,2012,2,2,30,30,30,10,395,6.93949,5.98495,889,57,55,298,112,32,2.6875
58099,boardgame,Granada,2009,2,6,60,45,60,8,337,6.97027,5.98465,589,28,32,97,119,26,2.2308
18243,boardgame,Parthenon: Rise of the Aegean,2005,3,6,120,120,120,12,824,6.40869,5.98457,1010,115,37,130,441,140,3.0143
2876,boardgame,Mage Knight Dungeons,2002,2,4,60,60,60,10,616,6.64004,5.98449,1043,74,40,90,242,63,2.4762
27385,boardgame,Alchemist,2007,2,5,50,50,50,10,1089,6.29094,5.98414,1105,76,45,198,369,112,2.25
3413,boardgame,Saratoga,1998,2,2,180,180,180,12,307,7.10334,5.98414,924,38,32,69,162,43,2.5116
3593,boardgame,Star Wars: Star Warriors,1987,2,6,120,120,120,12,415,6.91574,5.98408,972,52,53,108,173,59,3.1695
63170,boardgame,1817,2010,3,7,360,360,360,0,120,8.7525,5.98406,112,0,73,124,65,31,4.7097
27969,boardgame,"A Most Dangerous Time: Japan in Chaos, 1570-1584",2009,2,4,240,240,240,12,248,7.42258,5.98406,853,27,60,227,145,50,3.12
128664,boardgame,Timeline,2012,2,8,15,15,15,8,646,6.49915,5.98321,736,11,18,68,126,44,1.1818
66120,boardgame,Zooloretto Mini,2010,2,5,30,30,30,7,333,6.98168,5.98304,622,19,72,158,95,23,1.3043
42306,boardgame,Wings of War: WW2 Deluxe set,2009,2,4,45,45,45,8,279,7.2866,5.98296,545,15,41,95,84,25,2.36
1209,boardgame,Pax Britannica,1985,4,7,300,300,300,12,591,6.64602,5.98292,1156,69,44,80,222,96,3.8438
74,boardgame,Apples to Apples,1999,4,10,30,30,30,12,12694,6.08733,5.98276,16236,665,56,457,4150,1332,1.1712
8166,boardgame,Anno 1503,2003,2,4,90,90,90,10,1050,6.3246,5.98274,1478,101,29,108,393,133,2.3759
45134,boardgame,Arcana,2009,2,4,60,60,60,13,1440,6.23617,5.98269,2617,258,62,357,503,137,2.0584
7571,boardgame,Winds Of Plunder,2007,3,5,120,120,120,10,666,6.48934,5.98262,882,84,44,139,317,112,2.3661
135116,boardgame,Seventh Hero,2012,3,5,30,20,30,8,559,6.59925,5.98243,1198,65,40,152,154,43,1.5116
